screenshot_cinnamon_708 (3)_2048;cinnamon;708;2048;0,750659056;1,997363778
screenshot_cinnamon_850_256;cinnamon;850;256;0,589196778;2,643212889
screenshot_cinnamon_1224_256;cinnamon;1224;256;0,498884056;3,004463778
screenshot_cinnamon_7602_256;cinnamon;7602;256;0,375700944;3,497196222
screenshot_cinnamon_1764 (1)_512;cinnamon;1764;512;0,237850778;4,048596889
screenshot_cinnamon_10950 (1)_512;cinnamon;10950;512;0,124314389;4,502742444
screenshot_cinnamon_243024 (3)_2048;cinnamon;243024;2048;;5
