"Stimulus","Model","Vertex_Nb","Texture_Size","Graphic_lpips","Pseudo_MOS"
"screenshot_muffin_596 (2)_1024","muffin",596,"1024",0.39135776,3.43456896
"screenshot_muffin_596 (3)_2048","muffin",596,"2048",0.38825744,3.44697024
"screenshot_muffin_596_256","muffin",596,"256",0.55520896,2.77916416
"screenshot_muffin_716 (1)_512","muffin",716,"512",0.34935564,3.60257744
"screenshot_muffin_716 (2)_1024","muffin",716,"1024",0.33316264,3.66734944
"screenshot_muffin_716 (3)_2048","muffin",716,"2048",0.33033704,3.67865184
"screenshot_muffin_716_256","muffin",716,"256",0.51797588,2.92809648
"screenshot_muffin_860 (1)_512","muffin",860,"512",0.29537664,3.81849344
"screenshot_muffin_860 (2)_1024","muffin",860,"1024",0.27770016,3.88919936
"screenshot_muffin_860 (3)_2048","muffin",860,"2048",0.27253556,3.90985776
"screenshot_muffin_860_256","muffin",860,"256",0.48346088,3.06615648
"screenshot_muffin_1034 (1)_512","muffin",1034,"512",0.26242568,3.95029728
"screenshot_muffin_1034 (2)_1024","muffin",1034,"1024",0.24461696,4.02153216
"screenshot_muffin_1034 (3)_2048","muffin",1034,"2048",0.23897912,4.04408352
"screenshot_muffin_1034_256","muffin",1034,"256",0.44953672,3.20185312
"screenshot_muffin_1242 (1)_512","muffin",1242,"512",0.24436624,4.02253504
"screenshot_muffin_1242 (2)_1024","muffin",1242,"1024",0.22877988,4.08488048
"screenshot_muffin_1242 (3)_2048","muffin",1242,"2048",0.2254216,4.0983136
"screenshot_muffin_1242_256","muffin",1242,"256",0.4272968,3.2908128
"screenshot_muffin_1492 (1)_512","muffin",1492,"512",0.22427704,4.10289184
"screenshot_muffin_1492 (2)_1024","muffin",1492,"1024",0.20771584,4.16913664
"screenshot_muffin_1492 (3)_2048","muffin",1492,"2048",0.20364364,4.18542544
"screenshot_muffin_1492_256","muffin",1492,"256",0.4100098,3.3599608
"screenshot_muffin_1792 (1)_512","muffin",1792,"512",0.20765644,4.16937424
"screenshot_muffin_1792 (2)_1024","muffin",1792,"1024",0.18736456,4.25054176
"screenshot_muffin_1792 (3)_2048","muffin",1792,"2048",0.18428012,4.26287952
"screenshot_muffin_1792_256","muffin",1792,"256",0.39744372,3.41022512
"screenshot_muffin_2152 (1)_512","muffin",2152,"512",0.1904828,4.2380688
"screenshot_muffin_2152 (2)_1024","muffin",2152,"1024",0.16680988,4.33276048
"screenshot_muffin_2152 (3)_2048","muffin",2152,"2048",0.16285444,4.34858224
"screenshot_muffin_2152_256","muffin",2152,"256",0.38512596,3.45949616
"screenshot_muffin_2584 (1)_512","muffin",2584,"512",0.1654944,4.3380224
"screenshot_muffin_2584 (2)_1024","muffin",2584,"1024",0.15042776,4.39828896
"screenshot_muffin_2584 (3)_2048","muffin",2584,"2048",0.14930148,4.40279408
"screenshot_muffin_2584_256","muffin",2584,"256",0.37378552,3.50485792
"screenshot_muffin_3102 (1)_512","muffin",3102,"512",0.14897228,4.40411088
"screenshot_muffin_3102 (2)_1024","muffin",3102,"1024",0.1362278,4.4550888
"screenshot_muffin_3102 (3)_2048","muffin",3102,"2048",0.13313652,4.46745392
"screenshot_muffin_3102_256","muffin",3102,"256",0.36337808,3.54648768
"screenshot_muffin_3724 (1)_512","muffin",3724,"512",0.12621196,4.49515216
"screenshot_muffin_3724 (2)_1024","muffin",3724,"1024",0.10581996,4.57672016
"screenshot_muffin_3724 (3)_2048","muffin",3724,"2048",0.1017722,4.5929112
"screenshot_muffin_3724_256","muffin",3724,"256",0.3486902,3.6052392
"screenshot_muffin_4470 (1)_512","muffin",4470,"512",0.10248708,4.59005168
"screenshot_muffin_4470 (2)_1024","muffin",4470,"1024",0.08087224,4.67651104
"screenshot_muffin_4470 (3)_2048","muffin",4470,"2048",0.07728096,4.69087616
"screenshot_muffin_4470_256","muffin",4470,"256",0.33622684,3.65509264
"screenshot_muffin_5366 (1)_512","muffin",5366,"512",0.09607508,4.61569968
"screenshot_muffin_5366 (2)_1024","muffin",5366,"1024",0.07535396,4.69858416
"screenshot_muffin_5366 (3)_2048","muffin",5366,"2048",0.07186732,4.71253072
"screenshot_muffin_5366_256","muffin",5366,"256",0.33509352,3.65962592
"screenshot_muffin_6440 (1)_512","muffin",6440,"512",0.09039116,4.63843536
"screenshot_muffin_6440 (2)_1024","muffin",6440,"1024",0.06748088,4.73007648
"screenshot_muffin_6440 (3)_2048","muffin",6440,"2048",0.06390864,4.74436544
"screenshot_muffin_6440_256","muffin",6440,"256",0.332417,3.670332
"screenshot_muffin_7728 (1)_512","muffin",7728,"512",0.07939472,4.68242112
"screenshot_muffin_7728 (2)_1024","muffin",7728,"1024",0.0533862,4.7864552
"screenshot_muffin_7728 (3)_2048","muffin",7728,"2048",0.04998724,4.80005104
"screenshot_muffin_7728_256","muffin",7728,"256",0.32825012,3.68699952
"screenshot_muffin_9274 (1)_512","muffin",9274,"512",0.0749054,4.7003784
"screenshot_muffin_9274 (2)_1024","muffin",9274,"1024",0.0471748,4.8113008
"screenshot_muffin_9274 (3)_2048","muffin",9274,"2048",0.04397436,4.82410256
"screenshot_muffin_9274_256","muffin",9274,"256",0.3233536,3.7065856
"screenshot_muffin_11130 (1)_512","muffin",11130,"512",0.07317264,4.70730944
"screenshot_muffin_11130 (2)_1024","muffin",11130,"1024",0.0418582,4.8325672
"screenshot_muffin_11130 (3)_2048","muffin",11130,"2048",0.03812764,4.84748944
"screenshot_muffin_11130_256","muffin",11130,"256",0.32483384,3.70066464
"screenshot_muffin_13356 (1)_512","muffin",13356,"512",0.0660746,4.7357016
"screenshot_muffin_13356 (2)_1024","muffin",13356,"1024",0.03555092,4.85779632
"screenshot_muffin_13356 (3)_2048","muffin",13356,"2048",0.0319442,4.8722232
"screenshot_muffin_13356_256","muffin",13356,"256",0.31732568,3.73069728
"screenshot_muffin_16028 (1)_512","muffin",16028,"512",0.0654962,4.7380152
"screenshot_muffin_16028 (2)_1024","muffin",16028,"1024",0.0336296,4.8654816
"screenshot_muffin_16028 (3)_2048","muffin",16028,"2048",0.02987904,4.88048384
"screenshot_muffin_16028_256","muffin",16028,"256",0.32059956,3.71760176
"screenshot_muffin_19234 (1)_512","muffin",19234,"512",0.05914756,4.76340976
"screenshot_muffin_19234 (2)_1024","muffin",19234,"1024",0.025747,4.897012
"screenshot_muffin_19234 (3)_2048","muffin",19234,"2048",0.02201636,4.91193456
"screenshot_muffin_19234_256","muffin",19234,"256",0.31631276,3.73474896
"screenshot_muffin_23082 (1)_512","muffin",23082,"512",0.05685692,4.77257232
"screenshot_muffin_23082 (2)_1024","muffin",23082,"1024",0.02144348,4.91422608
"screenshot_muffin_23082 (3)_2048","muffin",23082,"2048",0.01773008,4.92907968
"screenshot_muffin_23082_256","muffin",23082,"256",0.31304408,3.74782368
"screenshot_muffin_27700 (1)_512","muffin",27700,"512",0.05471388,4.78114448
"screenshot_muffin_27700 (2)_1024","muffin",27700,"1024",0.01829884,4.92680464
"screenshot_muffin_27700 (3)_2048","muffin",27700,"2048",0.01450708,4.94197168
"screenshot_muffin_27700_256","muffin",27700,"256",0.31209532,3.75161872
"screenshot_muffin_33240 (1)_512","muffin",33240,"512",0.05519624,4.77921504
"screenshot_muffin_33240 (2)_1024","muffin",33240,"1024",0.0165308,4.9338768
"screenshot_muffin_33240 (3)_2048","muffin",33240,"2048",0.01267448,4.94930208
"screenshot_muffin_33240_256","muffin",33240,"256",0.31213588,3.75145648
"screenshot_muffin_39888 (1)_512","muffin",39888,"512",0.05342388,4.78630448
"screenshot_muffin_39888 (2)_1024","muffin",39888,"1024",0.01432668,4.94269328
"screenshot_muffin_39888 (3)_2048","muffin",39888,"2048",0.01028128,4.95887488
"screenshot_muffin_39888_256","muffin",39888,"256",0.30947248,3.76211008
"screenshot_muffin_47866 (1)_512","muffin",47866,"512",0.05313848,4.78744608
"screenshot_muffin_47866 (2)_1024","muffin",47866,"1024",0.01237676,4.95049296
"screenshot_muffin_47866 (3)_2048","muffin",47866,"2048",0.00851816,4.96592736
"screenshot_muffin_47866_256","muffin",47866,"256",0.31142688,3.75429248
"screenshot_muffin_57440 (1)_512","muffin",57440,"512",0.05310008,4.78759968
"screenshot_muffin_57440 (2)_1024","muffin",57440,"1024",0.01092884,4.95628464
"screenshot_muffin_57440 (3)_2048","muffin",57440,"2048",0.00719156,4.97123376
"screenshot_muffin_57440_256","muffin",57440,"256",0.3093798,3.7624808
"screenshot_muffin_68930 (1)_512","muffin",68930,"512",0.05209508,4.79161968
"screenshot_muffin_68930 (2)_1024","muffin",68930,"1024",0.0096756,4.9612976
"screenshot_muffin_68930 (3)_2048","muffin",68930,"2048",0.00581388,4.97674448
"screenshot_muffin_68930_256","muffin",68930,"256",0.31065624,3.75737504
"screenshot_muffin_82718 (1)_512","muffin",82718,"512",0.04979124,4.80083504
"screenshot_muffin_82718 (2)_1024","muffin",82718,"1024",0.00764336,4.96942656
"screenshot_muffin_82718 (3)_2048","muffin",82718,"2048",0.00335924,4.98656304
"screenshot_muffin_82718_256","muffin",82718,"256",0.30846296,3.76614816
"screenshot_muffin_99262 (1)_512","muffin",99262,"512",0.04912972,4.80348112
"screenshot_muffin_99262 (2)_1024","muffin",99262,"1024",0.00588224,4.97647104
"screenshot_muffin_99262 (3)_2048","muffin",99262,"2048",0.00178232,4.99287072
"screenshot_muffin_99262_256","muffin",99262,"256",0.30710984,3.77156064
"screenshot_muffin_119116 (1)_512","muffin",119116,"512",0.04881228,4.80475088
"screenshot_muffin_119116 (2)_1024","muffin",119116,"1024",0.00501096,4.97995616
"screenshot_muffin_119116 (3)_2048","muffin",119116,"2048",0.0009686,4.9961256
"screenshot_muffin_119116_256","muffin",119116,"256",0.30736948,3.77052208
"screenshot_muffin_142940 (1)_512","muffin",142940,"512",0.04854852,4.80580592
"screenshot_muffin_142940 (2)_1024","muffin",142940,"1024",0.0041086,4.9835656
"screenshot_muffin_142940_256","muffin",142940,"256",0.30712884,3.77148464
