"Stimulus","Model","Vertex_Nb","Texture_Size","Graphic_lpips","Pseudo_MOS"
"screenshot_cake_248 (2)_1024","cake",248,"1024",0.891307193548387,1.43477122580645
"screenshot_cake_248 (3)_2048","cake",248,"2048",0.879515569892473,1.48193772043011
"screenshot_cake_248_256","cake",248,"256",0.978585817204301,1.0856567311828
"screenshot_cake_298 (1)_512","cake",298,"512",0.929121279569892,1.28351488172043
"screenshot_cake_298 (2)_1024","cake",298,"1024",0.863657935483871,1.54536825806452
"screenshot_cake_298 (3)_2048","cake",298,"2048",0.851668559139785,1.59332576344086
"screenshot_cake_298_256","cake",298,"256",0.970170376344086,1.11931849462366
"screenshot_cake_358 (1)_512","cake",358,"512",0.913998860215054,1.34400455913979
"screenshot_cake_358 (2)_1024","cake",358,"1024",0.847435430107527,1.61025827956989
"screenshot_cake_358 (3)_2048","cake",358,"2048",0.835817462365591,1.65673015053763
"screenshot_cake_358_256","cake",358,"256",0.968388301075269,1.12644679569892
"screenshot_cake_430 (1)_512","cake",430,"512",0.894020193548387,1.42391922580645
"screenshot_cake_430 (2)_1024","cake",430,"1024",0.824806043010753,1.70077582795699
"screenshot_cake_430 (3)_2048","cake",430,"2048",0.810962924731183,1.75614830107527
"screenshot_cake_430_256","cake",430,"256",0.959599376344086,1.16160249462366
"screenshot_cake_518 (1)_512","cake",518,"512",0.888942322580645,1.44423070967742
"screenshot_cake_518 (2)_1024","cake",518,"1024",0.80528152688172,1.77887389247312
"screenshot_cake_518 (3)_2048","cake",518,"2048",0.787210720430108,1.85115711827957
"screenshot_cake_518_256","cake",518,"256",0.955595,1.17762
"screenshot_cake_622 (1)_512","cake",622,"512",0.859968537634409,1.56012584946237
"screenshot_cake_622 (2)_1024","cake",622,"1024",0.755672946236559,1.97730821505376
"screenshot_cake_622 (3)_2048","cake",622,"2048",0.731810301075269,2.07275879569892
"screenshot_cake_622_256","cake",622,"256",0.943495397849462,1.22601840860215
"screenshot_cake_748 (1)_512","cake",748,"512",0.865820634408602,1.53671746236559
"screenshot_cake_748 (2)_1024","cake",748,"1024",0.753463247311828,1.98614701075269
"screenshot_cake_748 (3)_2048","cake",748,"2048",0.733181225806452,2.06727509677419
"screenshot_cake_748_256","cake",748,"256",0.946284913978495,1.21486034408602
"screenshot_cake_898 (1)_512","cake",898,"512",0.845809956989247,1.61676017204301
"screenshot_cake_898 (2)_1024","cake",898,"1024",0.722927225806452,2.10829109677419
"screenshot_cake_898 (3)_2048","cake",898,"2048",0.701200924731183,2.19519630107527
"screenshot_cake_898_256","cake",898,"256",0.935454172043011,1.25818331182796
"screenshot_cake_1078 (1)_512","cake",1078,"512",0.808470634408602,1.76611746236559
"screenshot_cake_1078 (2)_1024","cake",1078,"1024",0.670926913978495,2.31629234408602
"screenshot_cake_1078 (3)_2048","cake",1078,"2048",0.644357096774194,2.42257161290323
"screenshot_cake_1078_256","cake",1078,"256",0.924977258064516,1.30009096774194
"screenshot_cake_1294 (1)_512","cake",1294,"512",0.772567225806452,1.90973109677419
"screenshot_cake_1294 (2)_1024","cake",1294,"1024",0.624781741935484,2.50087303225806
"screenshot_cake_1294 (3)_2048","cake",1294,"2048",0.602255978494624,2.59097608602151
"screenshot_cake_1294_256","cake",1294,"256",0.916271096774193,1.33491561290323
"screenshot_cake_1554 (1)_512","cake",1554,"512",0.747886376344086,2.00845449462366
"screenshot_cake_1554 (2)_1024","cake",1554,"1024",0.58838752688172,2.64644989247312
"screenshot_cake_1554 (3)_2048","cake",1554,"2048",0.562413290322581,2.75034683870968
