Stimulus;Model;Vertex_Nb;Texture_Size;Graphic_lpips;Pseudo_MOS
screenshot_eclaire_6540 (3)_2048;eclaire;6540;2048;0.0612057878787879;4.75517684848485
screenshot_eclaire_9418 (2)_1024;eclaire;9418;1024;0.0605730606060606;4.75770775757576
screenshot_eclaire_7848 (3)_2048;eclaire;7848;2048;0.0592463636363636;4.76301454545455
screenshot_eclaire_11302 (2)_1024;eclaire;11302;1024;0.0562329696969697;4.77506812121212
screenshot_eclaire_13564 (2)_1024;eclaire;13564;1024;0.0521872121212121;4.79125115151515
screenshot_eclaire_9418 (3)_2048;eclaire;9418;2048;0.050651;4.797396
screenshot_eclaire_11302 (3)_2048;eclaire;11302;2048;0.0459129696969697;4.81634812121212
screenshot_eclaire_16278 (2)_1024;eclaire;16278;1024;0.045449696969697;4.81820121212121
screenshot_eclaire_13564 (3)_2048;eclaire;13564;2048;0.0413273333333333;4.83469066666667
screenshot_eclaire_19534 (2)_1024;eclaire;19534;1024;0.0401418787878788;4.83943248484848
screenshot_eclaire_23442 (2)_1024;eclaire;23442;1024;0.0353801515151515;4.85847939393939
screenshot_eclaire_16278 (3)_2048;eclaire;16278;2048;0.0335332727272727;4.86586690909091
screenshot_eclaire_28132 (2)_1024;eclaire;28132;1024;0.0327024848484848;4.86919006060606
screenshot_eclaire_33760 (2)_1024;eclaire;33760;1024;0.0298944848484848;4.88042206060606
screenshot_eclaire_19534 (3)_2048;eclaire;19534;2048;0.0285239696969697;4.88590412121212
screenshot_eclaire_40512 (2)_1024;eclaire;40512;1024;0.0270314545454545;4.89187418181818
screenshot_eclaire_48616 (2)_1024;eclaire;48616;1024;0.0252154242424242;4.8991383030303
screenshot_eclaire_23442 (3)_2048;eclaire;23442;2048;0.0233872121212121;4.90645115151515
screenshot_eclaire_58340 (2)_1024;eclaire;58340;1024;0.0230796363636364;4.90768145454545
screenshot_eclaire_70010 (2)_1024;eclaire;70010;1024;0.0210856363636364;4.91565745454545
screenshot_eclaire_84012 (2)_1024;eclaire;84012;1024;0.0191742727272727;4.92330290909091
screenshot_eclaire_28132 (3)_2048;eclaire;28132;2048;0.0190023636363636;4.92399054545455
screenshot_eclaire_100816 (2)_1024;eclaire;100816;1024;0.018607;4.925572
screenshot_eclaire_120980 (2)_1024;eclaire;120980;1024;0.0178972727272727;4.92841090909091
screenshot_eclaire_33760 (3)_2048;eclaire;33760;2048;0.0161855454545455;4.93525781818182
screenshot_eclaire_40512 (3)_2048;eclaire;40512;2048;0.0131265151515152;4.94749393939394
screenshot_eclaire_48616 (3)_2048;eclaire;48616;2048;0.010478696969697;4.95808521212121
screenshot_eclaire_58340 (3)_2048;eclaire;58340;2048;0.00748539393939394;4.97005842424242
screenshot_eclaire_70010 (3)_2048;eclaire;70010;2048;0.00508921212121212;4.97964315151515
screenshot_eclaire_84012 (3)_2048;eclaire;84012;2048;0.00243672727272727;4.99025309090909
screenshot_eclaire_100816 (3)_2048;eclaire;100816;2048;0.000963757575757576;4.99614496969697
