Stimulus;Model;Vertex_Nb;Texture_Size;Graphic_lpips;Pseudo_MOS
screenshot_cinnamon_22710 (3)_2048;cinnamon;22710;2048;0.0216910555555556;4.91323577777778
screenshot_cinnamon_27252 (3)_2048;cinnamon;27252;2048;0.0211055555555556;4.91557777777778
screenshot_cinnamon_243024 (2)_1024;cinnamon;243024;1024;0.0209699444444444;4.91612022222222
screenshot_cinnamon_202520 (2)_1024;cinnamon;202520;1024;0.0209637222222222;4.91614511111111
screenshot_cinnamon_32704 (3)_2048;cinnamon;32704;2048;0.0182958333333333;4.92681666666667
screenshot_cinnamon_39246 (3)_2048;cinnamon;39246;2048;0.0155335;4.937866
screenshot_cinnamon_47096 (3)_2048;cinnamon;47096;2048;0.0148353888888889;4.94065844444444
screenshot_cinnamon_56516 (3)_2048;cinnamon;56516;2048;0.012939;4.948244
screenshot_cinnamon_67820 (3)_2048;cinnamon;67820;2048;0.0116678888888889;4.95332844444444
screenshot_cinnamon_81386 (3)_2048;cinnamon;81386;2048;0.00910144444444444;4.96359422222222
screenshot_cinnamon_97664 (3)_2048;cinnamon;97664;2048;0.00631172222222222;4.97475311111111
screenshot_cinnamon_117198 (3)_2048;cinnamon;117198;2048;0.00507983333333333;4.97968066666667
screenshot_cinnamon_140638 (3)_2048;cinnamon;140638;2048;0.00346955555555556;4.98612177777778
screenshot_cinnamon_168766 (3)_2048;cinnamon;168766;2048;0.00234344444444444;4.99062622222222
screenshot_cinnamon_202520 (3)_2048;cinnamon;202520;2048;6.72727272727273e-06;4.99997309090909
